,variable
491,RIME
492,HGT
493,TMP
494,RH
495,SPFH
496,VVEL
497,DZDT
498,UGRD
499,VGRD
500,TKE
501,CLMR
502,CICE
503,RWMR
504,SNMR
505,RIME
506,HGT
507,TMP
508,RH
509,SPFH
510,VVEL
511,DZDT
512,UGRD
513,VGRD
514,TKE
515,CLMR
516,CICE
517,RWMR
518,SNMR
519,RIME
520,HGT
521,TMP
522,RH
523,DPT
524,SPFH
525,VVEL
526,DZDT
527,MDIV
528,UGRD
529,VGRD
530,ABSV
531,TKE
532,CLMR
533,CICE
534,RWMR
535,SNMR
536,RIME
537,HGT
538,TMP
539,RH
540,SPFH
541,VVEL
542,DZDT
543,UGRD
544,VGRD
545,TKE
546,CLMR
547,CICE
548,RWMR
549,SNMR
550,RIME
551,HGT
552,TMP
553,RH
554,SPFH
555,VVEL
556,DZDT
557,UGRD
558,VGRD
559,TKE
560,CLMR
561,CICE
562,RWMR
563,SNMR
564,RIME
565,HGT
566,TMP
567,RH
568,DPT
569,SPFH
570,VVEL
571,DZDT
572,UGRD
573,VGRD
574,TKE
575,CLMR
576,CICE
577,RWMR
578,SNMR
579,RIME
580,HGT
581,TMP
582,RH
583,SPFH
584,VVEL
585,DZDT
586,MDIV
587,UGRD
588,VGRD
589,TKE
590,CLMR
591,CICE
592,RWMR
593,SNMR
594,RIME
595,HINDEX
596,HGT
597,TMP
598,RH
599,SPFH
600,VVEL
601,DZDT
602,UGRD
603,VGRD
604,TKE
605,CLMR
606,CICE
607,RWMR
608,SNMR
609,RIME
610,TMP
611,RH
612,DPT
613,SPFH
614,VVEL
615,DZDT
616,UGRD
617,VGRD
618,ABSV
619,TKE
620,CLMR
621,CICE
622,RWMR
623,SNMR
624,RIME
625,MAXUVV
626,MAXDVV
627,MSLET
628,HGT
629,REFD
630,REFD
631,MAXREF
632,REFD
633,MXUPHL
634,MNUPHL
635,MXUPHL
636,MNUPHL
637,PRES
638,HGT
639,TMP
640,SPFH
641,TSOIL
642,SOILW
643,SOILL
644,TSOIL
645,SOILW
646,SOILL
647,TSOIL
648,SOILW
649,SOILL
650,TSOIL
651,SOILW
652,SOILL
653,TSOIL
654,MSTAV
655,SOILM
656,CNWAT
657,SNOWC
658,SMDRY
659,POROS
660,TMP
661,SPFH
662,DPT
663,RH
664,TMAX
665,TMIN
666,MAXRH
667,MINRH
668,UGRD
669,VGRD
670,MAXUW
671,MAXVW
672,POT
673,SPFH
674,CPOFP
675,PRATE
676,PRATE
677,SRWEQ
678,NCPCP
679,SNOM
680,SSRUN
681,BGRUN
682,HGT
683,CSNOW
684,CICEP
685,CFRZR
686,CRAIN
687,LHTFL
688,SHTFL
689,GFLUX
690,SNOHF
691,EVP
692,PEVAP
693,SFCR
694,FRICV
695,CD
696,UFLX
697,VFLX
698,SHTFL
699,LHTFL
700,SFEXC
701,VEG
702,GFLUX
703,VGTYP
704,SOTYP
705,CCOND
706,RSMIN
707,RLYRS
708,WILT
709,SMREF
710,RCS
711,RCT
712,RCQ
713,RCSOL
714,LFTX
715,CAPE
716,CIN
717,PWAT
718,TCOLW
719,TCOLI
720,TCOLR
721,TCOLS
722,TCOLC
723,TCLSW
724,TCOLM
725,SWHR
726,LWHR
727,LRGHR
728,MDIV
729,HGT
730,HGT
731,LCDC
732,MCDC
733,HCDC
734,PRES
735,HGT
736,HGT
737,PRES
738,PRES
739,HGT
740,TMP
741,BRTMP
742,PRES
743,DSWRF
744,DLWRF
745,USWRF
746,ULWRF
747,USWRF
748,ULWRF
749,ULWRF
750,DSWRF
751,DLWRF
752,USWRF
753,ULWRF
754,CSDSF
755,HLCY
756,HLCY
757,USTM
758,VSTM
759,UPHL
760,VUCSH
761,VVCSH
762,PRES
763,TMP
764,UGRD
765,VGRD
766,VWSH
767,PRES
768,HGT
769,UGRD
770,VGRD
771,TMP
772,SPFH
773,PRES
774,UGRD
775,VGRD
776,TMP
777,UGRD
778,VGRD
779,TMP
780,UGRD
781,VGRD
782,TMP
783,UGRD
784,VGRD
785,TMP
786,UGRD
787,VGRD
788,TMP
789,UGRD
790,VGRD
791,TMP
792,UGRD
793,VGRD
794,TMP
795,UGRD
796,VGRD
797,TMP
798,UGRD
799,VGRD
800,TMP
801,UGRD
802,VGRD
803,TMP
804,UGRD
805,VGRD
806,HGT
807,RH
808,HGT
809,PRES
810,TMP
811,POT
812,RH
813,DPT
814,SPFH
815,MDIV
816,UGRD
817,VGRD
818,VVEL
819,PWAT
820,PLI
821,PRES
822,TMP
823,RH
824,SPFH
825,UGRD
826,VGRD
827,PRES
828,TMP
829,RH
830,SPFH
831,UGRD
832,VGRD
833,VVEL
834,PRES
835,TMP
836,RH
837,SPFH
838,UGRD
839,VGRD
840,PRES
841,TMP
842,RH
843,SPFH
844,UGRD
845,VGRD
846,PRES
847,TMP
848,RH
849,SPFH
850,UGRD
851,VGRD
852,VVEL
853,4LFTX
854,CAPE
855,CIN
856,HPBL
857,HGT
858,PRES
859,CAPE
860,CIN
861,CAPE
862,CIN
863,PLPL
864,LTNG
865,LAND
866,ICEC
867,ALBDO
868,SNFALB
869,MXSALB
870,WTMP
871,WEASD
872,SNOD
873,APCP
874,WEASD
875,TCDC
